,Name,Address,Coordinates,street_number,Street,Area,City,Region,Country,Website,Phone,Type,Google_ID,Glovo_link,Monday Open time,Monday Close time,Tuesday Open time,Tuesday Close time,Wednesday Open time,Wednesday Close time,Thursday Open time,Thursday Close time,Friday Open time,Friday Close time,Saturday Open time,Saturday Close time,Sunday Open time,Sunday Close time,Average price,Overall price level
11,Піца Отто,"вулиця Любінська, 104, Львів","{'lat': 49.82128240000001, 'lng': 23.9687471}",104,вулиця Любінська,Залізничний,Львів,Львівська,Україна,https://otto.lviv.ua/,+380 97 148 2445,Ресторан,ChIJzZBjm_znOkcRBnKNv3q63ZI,https://glovoapp.com/ua/uk/lviv/pica-otto-lvi/,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,129.0,Medium-Low
12,ArtSushi,"вулиця Івана Пулюя, 40, Львів","{'lat': 49.8008506, 'lng': 23.987916}",40,вулиця Івана Пулюя,Франківський,Львів,Львівська,Україна,https://artsushi.lviv.ua/,+380 98 827 8213,Доставка,ChIJN06Ig-HnOkcRy1qnpIwHirQ,https://glovoapp.com/ua/uk/lviv/artsushi-lvi/,11:00:00,22:30:00,11:00:00,22:30:00,11:00:00,22:30:00,11:00:00,22:30:00,11:00:00,22:30:00,11:00:00,22:30:00,11:00:00,22:30:00,239.0,High
13,Mii Kebab / Мій Кебаб,"Пантелеймона Куліша, 36а, Львів","{'lat': 49.8490631, 'lng': 24.02488}",36а,Пантелеймона Куліша,Галицький,Львів,Львівська,Україна,https://glovoapp.com/ua/uk/lviv/mii-kebab-lvi/?utm_source=google&utm_medium=cpc&utm_campaign=Google_Performance_UA_ALLOpen_Search_cpa_All_FirstOrder_0_NewUsers_Ukranian__DigitalBudget_NoPromo_0_09032022&utm_campaignid=16522052603&utm_adgroupid=140791549632&utm_term=%28_term%29&utm_matchtype=%28_matchtype%29&utm_device=%28_device%29&gclid=Cj0KCQjw9deiBhC1ARIsAHLjR2DT2Nh4xDb4JmmtB5pIWv7QvXqJjdwRG9J8QU3_rTUwDNd4t3YZpjwaAglcEALw_wcB,+380 68 124 0124,Ресторан,ChIJ6eNDqEwdO0cRmDghwBvUIJ8,https://glovoapp.com/ua/uk/lviv/mii-kebab-lvi/,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,104.0,Low
14,Kvadrat Kebab Чорновола,"проспект В'ячеслава Чорновола, 16д, Львів","{'lat': 49.8561826, 'lng': 24.02659440000001}",16д,проспект В'ячеслава Чорновола,Шевченківський,Львів,Львівська,Україна,https://kvadratkebab.com/,+380 97 010 4010,Ресторан,ChIJucQyKvHdOkcRny9FXf4wUpM,https://glovoapp.com/ua/uk/lviv/kvadrat-kebab-chornovola-lvi/,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,92.0,Low
15,OMG Sweets,"вулиця Сербська, 3, Львів","{'lat': 49.8411462, 'lng': 24.0331941}",3,вулиця Сербська,Галицький,Львів,Львівська,Україна,http://www.chocolate.lviv.ua/,+380 50 430 6033,Ресторан,ChIJk6WtXGzdOkcRGqLG3w2Q7Pg,https://glovoapp.com/ua/uk/lviv/glovo-express-cafe-lviv/,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,00:00:00,23:59:00,00:00:00,23:59:00,,High
16,Budzzini  /  Будзіні,"вулиця Петра Дорошенка, 8, Львів","{'lat': 49.8399247, 'lng': 24.0263229}",8,вулиця Петра Дорошенка,Галицький,Львів,Львівська,Україна,https://budzzini.gazdagroup.com.ua/,+380 67 471 7722,Ресторан,ChIJIRSZ4nHdOkcRHFh_En29R34,https://glovoapp.com/ua/uk/lviv/budzzini-lvi/,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,255.0,High
17,Loveroll,"вулиця Пекарська, 24, Львів","{'lat': 49.8378081, 'lng': 24.038549}",24,вулиця Пекарська,Личаківський,Львів,Львівська,Україна,https://loveroll.com.ua/,+380 67 667 6714,Доставка,ChIJveFFpYbdOkcRbS4ptjdXsc4,https://glovoapp.com/ua/uk/lviv/loveroll-lvi/,14:00:00,23:00:00,14:00:00,23:00:00,14:00:00,23:00:00,14:00:00,23:00:00,14:00:00,23:00:00,14:00:00,23:00:00,14:00:00,23:00:00,264.0,High
18,Fast Fish / Швидка Рибка,"вулиця Академіка Лазаренка, 1а, Львів","{'lat': 49.81413870000001, 'lng': 24.0190355}",1а,вулиця Академіка Лазаренка,Франківський,Львів,Львівська,Україна,https://fastfishua.ps.me/,+380 67 358 5781,Інше,ChIJD1RWE-LnOkcRGC7JMddrjJ0,https://glovoapp.com/ua/uk/lviv/fast-fish-shvidka-ribka-lvi/,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,00:00:00,23:59:00,152.0,Medium-Low
19,Mexican food,"вулиця Братів Рогатинців, 9, Львів","{'lat': 49.84012, 'lng': 24.0318122}",9,вулиця Братів Рогатинців,Галицький,Львів,Львівська,Україна,https://tacotaco.lviv.ua/,+380 99 655 5996,Ресторан,ChIJc9921JfdOkcRbEVtwYZTR58,https://glovoapp.com/ua/uk/lviv/mexican-food-lvi/,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,85.0,Low
20,Kvadrat Kebab Соборна,"Соборна площа, 2, Львів","{'lat': 49.8394773, 'lng': 24.0333862}",2,Соборна площа,Галицький,Львів,Львівська,Україна,,,Ресторан,ChIJNwm4CgDdOkcRKT-vIS3W_xU,https://glovoapp.com/ua/uk/lviv/kvadrat-kebab-soborna-lvi/,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,66.0,Low
21,Budzzini Express,"вулиця Чернівецька, 21, Львів","{'lat': 49.83880719999999, 'lng': 23.9962844}",21,вулиця Чернівецька,Залізничний,Львів,Львівська,Україна,http://instagram.com/budzzini_express/,+380 68 471 7722,Ресторан,ChIJAQAMWoTdOkcRZBBr_VfEHJ4,https://glovoapp.com/ua/uk/lviv/budzzini-express-lvi/,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,192.0,Medium-High
22,Pruten / Прутень,"вулиця Вірменська, 35, Львів","{'lat': 49.8431904, 'lng': 24.03395009999999}",35,вулиця Вірменська,Галицький,Львів,Львівська,Україна,,,Пекарня,ChIJQUk30FTdOkcRyt0mCkv7kRE,https://glovoapp.com/ua/uk/lviv/pruten-lvi/,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,12:00:00,23:00:00,180.0,Medium-High
23,Medivnia / Медівня,"вулиця Краківська, 17, Львів","{'lat': 49.843278, 'lng': 24.0298217}",17,вулиця Краківська,Галицький,Львів,Львівська,Україна,http://gazda24.sbonus.net/,+380 67 370 7722,Ресторан,ChIJieeae23dOkcRjPtMXEUos1k,https://glovoapp.com/ua/uk/lviv/medovnia-lvi/,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,298.0,High
24,Dovhi Burkhlyvi Oplesky / Довгі Бурхливі Оплески,"вулиця Січових Стрільців, 3, Львів","{'lat': 49.8409558, 'lng': 24.0255968}",3,вулиця Січових Стрільців,Галицький,Львів,Львівська,Україна,https://www.instagram.com/oplesky.lviv/,+380 73 121 1010,Ресторан,ChIJ38IPHnLdOkcRTEVI8vnyIl4,https://glovoapp.com/ua/uk/lviv/dovgi-burhlivi-opleski-lvi/,14:00:00,23:30:00,14:00:00,23:30:00,14:00:00,23:30:00,14:00:00,23:30:00,14:00:00,23:30:00,14:00:00,23:30:00,14:00:00,23:30:00,186.0,Medium-High
25,Дідова Бочка,"вулиця Ангарна, Львів","{'lat': 49.84092159999999, 'lng': 23.9748495}",вулиця Ангарна,Залізничний,Львів,Львівська,Україна,,https://didovabochka.com/,+380 96 115 7656,Ресторан,ChIJ3ysOee_fOkcRKLxb-bvhqBk,https://glovoapp.com/ua/uk/lviv/didova-bochka-lvi/,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,430.0,High
26,BOIM KEBAB / БОЇМ КЕБАБ,"вулиця Січових Стрільців, 3, Львів","{'lat': 49.8409558, 'lng': 24.0255968}",3,вулиця Січових Стрільців,Галицький,Львів,Львівська,Україна,https://expz.menu/21511686-37a4-4f2a-8de6-6cbf6a2fa245/menu?menuId=4386,+380 73 121 1010,Ресторан,ChIJ-_VV6ADdOkcRou-wgBGxfGE,https://glovoapp.com/ua/uk/lviv/boim-kebab-lvi/,14:00:00,23:30:00,14:00:00,23:30:00,14:00:00,23:30:00,14:00:00,23:30:00,14:00:00,23:30:00,14:00:00,23:30:00,14:00:00,23:30:00,141.0,Medium-Low
27,4friends Delivery Steaks & Burgers,"вулиця Джохара Дудаєва, 2, Львів","{'lat': 49.8366564, 'lng': 24.0312719}",2,вулиця Джохара Дудаєва,Галицький,Львів,Львівська,Україна,,+380 50 600 5005,Бар,ChIJ6zbVKG_dOkcRLxu5YsFrfg4,https://glovoapp.com/ua/uk/lviv/4friends-whiskey-pub-lvi/,17:00:00,23:45:00,17:00:00,23:45:00,17:00:00,23:45:00,17:00:00,23:45:00,12:00:00,23:45:00,12:00:00,23:45:00,12:00:00,23:45:00,201.0,Medium-High
28,Kebab for you,"вулиця Шпитальна, 2, Львів","{'lat': 49.84461100000001, 'lng': 24.0243416}",2,вулиця Шпитальна,Галицький,Львів,Львівська,Україна,,+380 97 732 4537,Ресторан,ChIJTbfTP5rdOkcRMRurNybhHY4,https://glovoapp.com/ua/uk/lviv/kebab-for-you-lvi/,00:00:00,23:59:00,00:00:00,23:59:00,00:00:00,23:59:00,00:00:00,23:59:00,00:00:00,23:59:00,00:00:00,23:59:00,00:00:00,23:59:00,115.0,Medium-Low
29,Burgers and fries,"вулиця Академіка Гнатюка, 12, Львів","{'lat': 49.8415515, 'lng': 24.0255882}",12,вулиця Академіка Гнатюка,Галицький,Львів,Львівська,Україна,https://expz.menu/49c3ee27-943c-4d01-bd50-bcb929bc2624/menu?menuId=6878,+380 98 010 4201,Ресторан,ChIJK1QGInLdOkcRfJhoSgjB9rY,https://glovoapp.com/ua/uk/lviv/burgers-and-fries-lvi/,09:30:00,22:00:00,09:30:00,22:00:00,09:30:00,22:00:00,09:30:00,22:00:00,09:30:00,22:00:00,09:30:00,22:00:00,09:30:00,22:00:00,99.0,Low
30,Sloppy Joe Burgers,"вулиця Академіка Гнатюка, 12, Львів","{'lat': 49.8415515, 'lng': 24.0255882}",12,вулиця Академіка Гнатюка,Галицький,Львів,Львівська,Україна,https://expz.menu/49c3ee27-943c-4d01-bd50-bcb929bc2624/menu?menuId=6878,+380 98 010 4201,Ресторан,ChIJK1QGInLdOkcRfJhoSgjB9rY,https://glovoapp.com/ua/uk/lviv/sloppy-joe-burgers-lvi/,09:30:00,22:00:00,09:30:00,22:00:00,09:30:00,22:00:00,09:30:00,22:00:00,09:30:00,22:00:00,09:30:00,22:00:00,09:30:00,22:00:00,135.0,Medium-Low
31,Ya Hrek / Я Грек,"площа Катедральна, 3, Львів","{'lat': 49.84113070000001, 'lng': 24.0306172}",3,площа Катедральна,Галицький,Львів,Львівська,Україна,,+380 68 459 6148,Ресторан,ChIJg3iFPwPdOkcRlpnOmlzxA4Y,https://glovoapp.com/ua/uk/lviv/ya-grek-lvi/,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,283.0,High
32,Мега Булка на Зерновій,"вулиця Зернова, 4, Львів","{'lat': 49.8465777, 'lng': 24.025192}",4,вулиця Зернова,Галицький,Львів,Львівська,Україна,https://www.mega-bulka.com/,+380 63 620 4140,Ресторан,ChIJm8RVi_TdOkcRf-9NWHq8iPw,https://glovoapp.com/ua/uk/lviv/mega-bulka-na-zernovij-lvi/,08:00:00,22:00:00,08:00:00,22:00:00,08:00:00,22:00:00,08:00:00,22:00:00,08:00:00,22:00:00,08:00:00,22:00:00,08:00:00,22:00:00,80.0,Low
34,McDonald's,"проспект Шевченка, 7, Львів","{'lat': 49.8380984, 'lng': 24.0314784}",7,проспект Шевченка,Галицький,Львів,Львівська,Україна,https://ukraine.mcdonalds.ua/ukr/mcmode,+380 50 463 9118,Ресторан,ChIJfzWhwW7dOkcRd7pKG4biZ8Y,https://glovoapp.com/ua/uk/lviv/mcdonald-s-lvi/,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,85.0,Low
35,Kebab Chef / Кебаб Шеф,"вулиця Степана Бандери, 23, Львів","{'lat': 49.83445829999999, 'lng': 24.0148553}",23,вулиця Степана Бандери,Галицький,Львів,Львівська,Україна,,,Ресторан,ChIJv80JyHvdOkcRIp9XjJFwxwk,https://glovoapp.com/ua/uk/lviv/kebab-chef-lvi/,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,77.0,Low
36,KFC,"проспект Свободи, 19, Львів","{'lat': 49.841577, 'lng': 24.0267509}",19,проспект Свободи,Галицький,Львів,Львівська,Україна,http://kfc-ukraine.com/,+380 67 403 4588,Ресторан,ChIJnavG3OfdOkcRGxxM7gkuNxA,https://glovoapp.com/ua/uk/lviv/kfc-lvi/,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,95.0,Low
37,Puzata Hata / Пузата Хата,"проспект Шевченка, 10, Львів","{'lat': 49.837312, 'lng': 24.0312238}",10,проспект Шевченка,Галицький,Львів,Львівська,Україна,http://www.puzatahata.ua/,+380 800 505 299,Ресторан,ChIJMXnW227dOkcRW3Iy-GVzF_k,https://glovoapp.com/ua/uk/lviv/puzata-hata-lvi/,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,76.0,Low
38,Salalat,"проїзд Крива Липа, 7, Соборна площа, 2, Львів","{'lat': 49.8394773, 'lng': 24.0333862}",2,Соборна площа,Галицький,Львів,Львівська,Україна,http://salalat.com.ua/,+380 63 986 9570,Ресторан,ChIJUQ99-XHdOkcR7gXYStZgFyY,https://glovoapp.com/ua/uk/lviv/salalat-lvi/,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,231.0,High
39,IQ PIZZA,"вулиця Зелена, 69, Львів","{'lat': 49.8305417, 'lng': 24.0437558}",69,вулиця Зелена,Личаківський,Львів,Львівська,Україна,https://iqpizza.com.ua/,+380 68 115 1010,Доставка,ChIJe81wR6fdOkcRUOdGIxvcmEc,https://glovoapp.com/ua/uk/lviv/iq-pizza-lvi/,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:30:00,21:30:00,09:30:00,21:30:00,156.0,Medium-Low
40,LA PIEC / LA П'ЄЦ,"вулиця Січових Стрільців, 10, Львів","{'lat': 49.84045880000001, 'lng': 24.02419279999999}",10,вулиця Січових Стрільців,Галицький,Львів,Львівська,Україна,https://la.ua/,+380 97 440 4060,Інше,ChIJn5btIV7dOkcRyNFn5zip-Us,https://glovoapp.com/ua/uk/lviv/lapieclvi/,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,247.0,High
41,Tomatina,"вулиця Кульпарківська, 226 а, Львів","{'lat': 49.80794680000001, 'lng': 23.9781889}",226 а,вулиця Кульпарківська,Залізничний,Львів,Львівська,Україна,http://tomatina.ua/,+380 67 792 9090,Доставка,ChIJJ-Oo-gnnOkcRUHhgSfJdV64,https://glovoapp.com/ua/uk/lviv/tomatina/,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,217.0,Medium-High
42,Na Mangal Kebab House,"вулиця Князя Романа, 2, Львів","{'lat': 49.8389347, 'lng': 24.0320852}",2,вулиця Князя Романа,Галицький,Львів,Львівська,Україна,https://namangalkebabhouse.ua/,+380 63 032 4789,Ресторан,ChIJZ0qXkwDdOkcRLGPebonP_Hg,https://glovoapp.com/ua/uk/lviv/mangal-kebab-house-lvi/,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,123.0,Medium-Low
43,Magic Bowls,"проїзд Крива Липа, 9, Львів","{'lat': 49.84071429999999, 'lng': 24.0260468}",9,проїзд Крива Липа,Галицький,Львів,Львівська,Україна,https://magicbowls.com.ua/?utm_campaign=maplinks&utm_medium=organic&utm_source=googlemaps,+380 63 202 8202,Доставка,ChIJByjDH8jdOkcRSE4f9t1khjw,https://glovoapp.com/ua/uk/lviv/magic-bowls-lvi/,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,176.0,Medium-High
44,Home restaurant / Домашній ресторанчик,"проспект Шевченка, 11, Львів","{'lat': 49.83747189999999, 'lng': 24.03179919999999}",11,проспект Шевченка,Галицький,Львів,Львівська,Україна,https://list.in.ua/%D0%9A%D0%B0%D1%84%D0%B5/36224/%D0%94%D0%BE%D0%BC%D0%B0%D1%88%D0%BD%D1%96%D0%B9-%D1%80%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD%D1%87%D0%B8%D0%BA-%D0%9B%D1%8C%D0%B2%D1%96%D0%B2,+380 322 355 747,Ресторан,ChIJq_QX0G7dOkcR1N_Dq8WXbSw,https://glovoapp.com/ua/uk/lviv/home-restaurant-lvi/,09:00:00,22:00:00,08:00:00,22:00:00,08:00:00,22:00:00,08:00:00,22:00:00,08:00:00,22:00:00,08:00:00,22:00:00,08:00:00,22:00:00,163.0,Medium-Low
45,PIZZA DAY,"вулиця Лукаша, 3Б, Львів","{'lat': 49.8274582, 'lng': 24.0141587}",3Б,вулиця Лукаша,Франківський,Львів,Львівська,Україна,https://pizzaday.com.ua/,+380 800 334 455,Інше,ChIJkRD5-3DdOkcRQ12QszlV_nU,https://glovoapp.com/ua/uk/lviv/pizza-day-lvi/,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,116.0,Medium-Low
46,Kraft Burger,"вулиця Августина Волошина, 1, Львів","{'lat': 49.836438, 'lng': 24.031134}",1,вулиця Августина Волошина,Галицький,Львів,Львівська,Україна,,,Доставка,ChIJVVUlx5vdOkcRGya32GgjIY4,https://glovoapp.com/ua/uk/lviv/kraft-burger-sykhiv-lvi/,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,281.0,High
47,Ribs Restaurant At Arsenal / Реберня під Арсеналом,"вулиця Підвальна, 5, Львів","{'lat': 49.8415093, 'lng': 24.0352128}",5,вулиця Підвальна,Галицький,Львів,Львівська,Україна,https://www.facebook.com/rebernia,+380 67 373 4151,Ресторан,ChIJp9ELiGzdOkcRjRrpNz4JwL0,https://glovoapp.com/ua/uk/lviv/ribs-restaurant-at-arsenal-lvi/,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,,High
48,SHALOM,"вулиця Братів Рогатинців, 32, Львів","{'lat': 49.8407339, 'lng': 24.0350956}",32,вулиця Братів Рогатинців,Галицький,Львів,Львівська,Україна,,+380 73 093 1319,Ресторан,ChIJVVXFcGzdOkcRtFrVeLC-Y7w,https://glovoapp.com/ua/uk/lviv/shalom-lvi/,08:00:00,23:00:00,08:00:00,23:00:00,08:00:00,23:00:00,08:00:00,23:00:00,08:00:00,23:00:00,08:00:00,23:00:00,08:00:00,23:00:00,168.0,Medium-High
49,Бургери LA П'ЄЦ / Burgers LA PIEC,"вулиця Січових Стрільців, 10, Львів","{'lat': 49.84045880000001, 'lng': 24.02419279999999}",10,вулиця Січових Стрільців,Галицький,Львів,Львівська,Україна,https://la.ua/,+380 97 440 4060,Інше,ChIJn5btIV7dOkcRyNFn5zip-Us,https://glovoapp.com/ua/uk/lviv/burgers-la-piec-lvi/,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,107.0,Low
